c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs,y_true
380.0,42.5,3.14,643.0,2.57,1020.0,1.55,201.4,0.53,71.5,50,1.42,2,2.35,25.285318,32.0
380.0,42.5,3.14,607.8,2.57,1020.0,1.55,201.4,0.53,107.3,50,1.42,2,2.3,25.445461,25.0
380.0,42.5,3.14,572.0,2.57,1020.0,1.55,201.4,0.53,143.0,50,1.42,0,2.27,24.306559,24.0
340.0,43.6,3.14,799.2,2.65,1147.8,2.79,180.0,0.53,0.0,21,1.29,6,2.55,34.729866,34.0
340.0,43.6,3.14,799.2,2.65,1033.0,2.79,180.0,0.53,53.1,21,1.29,5,2.53,25.912802,26.0
340.0,43.6,3.14,799.2,2.65,919.0,2.79,180.0,0.53,106.1,21,1.29,5,2.42,23.9314,24.0
340.0,43.6,3.14,799.2,2.65,803.7,2.79,180.0,0.53,159.1,21,1.29,4,2.32,19.186945,18.0
340.0,43.6,3.14,799.2,2.65,688.3,2.79,180.0,0.53,212.5,21,1.29,4,2.25,19.175787,17.0
340.0,43.6,3.14,799.2,2.65,572.9,2.79,180.0,0.53,264.9,21,1.29,3,2.2,17.552244,15.0
367.34,43.6,3.14,789.1,2.65,1133.3,2.79,180.0,0.49,0.0,21,1.29,8,2.63,41.011517,40.0
367.34,43.6,3.14,789.1,2.65,1020.0,2.79,180.0,0.49,52.4,21,1.29,7,2.55,33.74119,37.0
367.34,43.6,3.14,789.1,2.65,907.4,2.79,180.0,0.49,104.8,21,1.29,6,2.45,32.3996,34.0
367.34,43.6,3.14,789.1,2.65,793.5,2.79,180.0,0.49,157.1,21,1.29,5,2.35,27.871584,28.0
367.34,43.6,3.14,789.1,2.65,679.6,2.79,180.0,0.49,209.8,21,1.29,4,2.32,24.523903,24.0
367.34,43.6,3.14,789.1,2.65,565.7,2.79,180.0,0.49,261.6,21,1.29,4,2.1,21.684969,22.0
400.0,43.6,3.14,777.9,2.65,1117.2,2.79,180.0,0.45,0.0,21,1.29,9,2.65,45.76344,45.0
400.0,43.6,3.14,777.9,2.65,1005.5,2.79,180.0,0.45,51.7,21,1.29,8,2.62,40.631744,42.0
400.0,43.6,3.14,777.9,2.65,894.6,2.79,180.0,0.45,103.3,21,1.29,7,2.48,39.575684,40.0
400.0,43.6,3.14,777.9,2.65,782.2,2.79,180.0,0.45,154.9,21,1.29,6,2.45,35.41609,35.0
400.0,43.6,3.14,777.9,2.65,669.9,2.79,180.0,0.45,206.8,21,1.29,5,2.38,28.434639,28.0
400.0,43.6,3.14,777.9,2.65,557.6,2.79,180.0,0.45,257.8,21,1.29,4,2.3,24.202312,24.5
456.0,35.0,3.13,639.7,2.55,1056.2,2.82,205.0,0.45,0.0,60,0.85,5,2.43,32.638493,32.0
456.0,35.0,3.13,639.7,2.55,1003.4,2.82,205.0,0.45,20.3,60,0.85,4,2.36,34.5705,36.0
456.0,35.0,3.13,639.7,2.55,950.6,2.82,205.0,0.45,40.5,60,0.85,4,2.34,32.020725,32.0
456.0,35.0,3.13,639.7,2.55,897.8,2.82,205.0,0.45,60.7,60,0.85,3,2.29,28.551504,28.0
456.0,35.0,3.13,639.7,2.55,932.4,2.43,205.0,0.45,0.0,60,0.85,8,2.26,31.193636,29.0
456.0,35.0,3.13,639.7,2.55,847.7,2.43,205.0,0.45,20.3,60,0.85,7,2.24,30.421936,32.0
456.0,35.0,3.13,639.7,2.55,803.1,2.43,205.0,0.45,40.5,60,0.85,6,2.21,27.783695,28.0
456.0,35.0,3.13,639.7,2.55,758.5,2.43,205.0,0.45,60.7,60,0.85,5,2.2,25.940905,26.0
446.0,42.5,3.12,585.0,2.42,961.0,2.62,252.0,0.56,0.0,52,1.32,8,2.32,30.667658,34.0
446.0,42.5,3.12,555.7,2.42,961.0,2.62,252.0,0.56,17.8,52,1.32,7,2.307,26.543213,26.0
446.0,42.5,3.12,526.5,2.42,961.0,2.62,252.0,0.56,35.5,52,1.32,7,2.856,21.074554,22.0
446.0,42.5,3.12,497.2,2.42,961.0,2.62,252.0,0.56,53.2,52,1.32,6,2.693,16.557768,17.0
446.0,42.5,3.12,468.0,2.42,961.0,2.62,252.0,0.56,71.0,52,1.32,6,2.495,12.014225,9.0
383.0,45.8,3.14,971.0,2.58,896.0,2.55,230.0,0.6,0.0,40,0.98,2,2.25,40.113705,40.0
383.0,45.8,3.14,929.0,2.58,679.0,2.55,230.0,0.6,179.0,40,0.98,3,2.2,30.672667,32.0
383.0,45.8,3.14,903.0,2.58,486.0,2.55,230.0,0.6,347.0,40,0.98,4,2.0,21.424734,22.0
383.0,45.8,3.14,882.0,2.58,305.0,2.55,230.0,0.6,509.0,40,0.98,12,1.85,9.09444,8.0
