c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs
350.0,44.8,3.12,575.1,2.63,1246.0,2.73,177.0,0.51,17.5,170,0.94,17,2.148,25.868355
350.0,44.8,3.12,553.2,2.63,1246.0,2.73,177.0,0.51,26.3,45,0.94,25,2.022,23.040125
350.0,44.8,3.12,531.2,2.63,1246.0,2.73,177.0,0.51,35.0,45,0.94,30,2.005,18.531664
461.5,42.9,3.15,534.2,2.43,1024.0,2.33,193.8,0.42,0.0,124,1.58,1,2.15,33.591904
461.5,42.9,3.15,534.2,2.43,819.2,2.33,193.8,0.42,138.9,124,1.58,1,2.06,29.368982
461.5,42.9,3.15,534.2,2.43,716.8,2.33,193.8,0.42,208.3,124,1.58,2,2.08,28.034683
461.5,42.9,3.15,534.2,2.43,614.4,2.33,193.8,0.42,277.8,124,1.58,2,2.08,25.908506
461.5,42.9,3.15,534.2,2.43,512.0,2.33,193.8,0.42,347.2,124,1.58,2,1.98,23.061302
449.0,42.9,3.15,519.8,2.43,996.4,2.33,215.5,0.48,0.0,124,1.58,3,2.15,33.420567
449.0,42.9,3.15,519.8,2.43,797.1,2.33,215.5,0.48,135.1,124,1.58,3,2.05,26.834394
449.0,42.9,3.15,519.8,2.43,697.5,2.33,215.5,0.48,202.7,124,1.58,3,2.0,26.361914
449.0,42.9,3.15,519.8,2.43,597.8,2.33,215.5,0.48,270.3,124,1.58,4,2.0,24.672781
449.0,42.9,3.15,519.8,2.43,498.2,2.33,215.5,0.48,337.8,124,1.58,4,1.96,20.187681
431.6,42.9,3.15,499.6,2.43,957.7,2.33,246.0,0.57,0.0,124,1.58,8,2.15,31.366282
431.6,42.9,3.15,499.6,2.43,766.2,2.33,246.0,0.57,129.9,124,1.58,9,2.0,25.858559
431.6,42.9,3.15,499.6,2.43,670.4,2.33,246.0,0.57,194.8,124,1.58,10,1.92,25.026154
431.6,42.9,3.15,499.6,2.43,574.6,2.33,246.0,0.57,259.8,124,1.58,13,1.95,23.511427
431.6,42.9,3.15,499.6,2.43,478.8,2.33,246.0,0.57,324.7,124,1.58,16,1.91,17.8965
370.0,42.5,3.13,600.0,2.63,1250.0,1.45,200.0,0.54,0.0,140,1.49,9,2.402,37.7735
370.0,42.5,3.13,540.0,2.63,1250.0,1.45,200.0,0.54,60.0,140,1.49,8,2.251,34.19942
370.0,42.5,3.13,480.0,2.63,1250.0,1.45,200.0,0.54,120.0,140,1.49,6,2.134,30.74267
370.0,42.5,3.13,420.0,2.63,1250.0,1.45,200.0,0.54,180.0,140,1.49,6,1.933,25.400265
370.0,42.5,3.13,360.0,2.63,1250.0,1.45,200.0,0.54,240.0,140,1.49,2,1.784,14.276234
